quarter,team,sales
Q1-2052,Engineering,1280000
Q1-2052,Customer Support,635000
Q2-2052,Marketing,1390000
Q2-2052,Sales,1520000
Q2-2052,Engineering,1290000
Q2-2052,Customer Support,640000
Q3-2052,Marketing,1400000
Q3-2052,Sales,1530000
Q3-2052,Engineering,1300000
Q3-2052,Customer Support,645000
Q4-2052,Marketing,1410000
Q4-2052,Sales,1540000
Q4-2052,Engineering,1310000
Q4-2052,Customer Support,650000
Q1-2053,Marketing,1420000
Q1-2053,Sales,1550000
Q1-2053,Engineering,1320000
Q1-2053,Customer Support,655000
Q2-2053,Marketing,1430000
Q2-2053,Sales,1560000
Q2-2053,Engineering,1330000
Q2-2053,Customer Support,660000
Q3-2053,Marketing,1440000
Q3-2053,Sales,1570000
Q3-2053,Engineering,1340000
Q3-2053,Customer Support,665000
Q4-2053,Marketing,1450000
Q4-2053,Sales,1580000
Q4-2053,Engineering,1350000
Q4-2053,Customer Support,670000
Q1-2054,Marketing,1460000
Q1-2054,Sales,1590000
Q1-2054,Engineering,1360000
Q1-2054,Customer Support,675000
Q2-2054,Marketing,1470000
Q2-2054,Sales,1600000
Q2-2054,Engineering,1370000
Q2-2054,Customer Support,680000
Q3-2054,Marketing,1480000
Q3-2054,Sales,1610000
Q3-2054,Engineering,1380000
Q3-2054,Customer Support,685000
Q4-2054,Marketing,1490000
Q4-2054,Sales,1620000
Q4-2054,Engineering,1390000
Q4-2054,Customer Support,690000
Q1-2055,Marketing,1500000
Q1-2055,Sales,1630000
Q1-2055,Engineering,1400000
Q1-2055,Customer Support,695000
Q2-2055,Marketing,1510000
Q2-2055,Sales,1640000
Q2-2055,Engineering,1410000
Q2-2055,Customer Support,700000
Q3-2055,Marketing,1520000
Q3-2055,Sales,1650000
Q3-2055,Engineering,1420000
Q3-2055,Customer Support,705000
Q4-2055,Marketing,1530000
Q4-2055,Sales,1660000
Q4-2055,Engineering,1430000
Q4-2055,Customer Support,710000
Q1-2056,Marketing,1540000
Q1-2056,Sales,1670000
Q1-2056,Engineering,1440000
Q1-2056,Customer Support,715000
Q2-2056,Marketing,1550000
Q2-2056,Sales,1680000
Q2-2056,Engineering,1450000
Q2-2056,Customer Support,720000
Q3-2056,Marketing,1560000
Q3-2056,Sales,1690000
Q3-2056,Engineering,1460000
Q3-2056,Customer Support,725000
Q4-2056,Marketing,1570000
Q4-2056,Sales,1700000
Q4-2056,Engineering,1470000
Q4-2056,Customer Support,730000
Q1-2057,Marketing,1580000
Q1-2057,Sales,1710000
Q1-2057,Engineering,1480000
Q1-2057,Customer Support,735000
Q2-2057,Marketing,1590000
Q2-2057,Sales,1720000
Q2-2057,Engineering,1490000
Q2-2057,Customer Support,740000
Q3-2057,Marketing,1600000
Q3-2057,Sales,1730000
Q3-2057,Engineering,1500000
Q3-2057,Customer Support,745000
Q4-2057,Marketing,1610000
Q4-2057,Sales,1740000
Q4-2057,Engineering,1510000
Q4-2057,Customer Support,750000
Q1-2058,Marketing,1620000
Q1-2058,Sales,1750000
Q1-2058,Engineering,1520000
Q1-2058,Customer Support,755000
Q2-2058,Marketing,1630000
Q2-2058,Sales,1760000
Q2-2058,Engineering,1530000
Q2-2058,Customer Support,760000
Q3-2058,Marketing,1640000
Q3-2058,Sales,1770000
Q3-2058,Engineering,1540000
Q3-2058,Customer Support,765000
Q4-2058,Marketing,1650000
Q4-2058,Sales,1780000
Q4-2058,Engineering,1550000
Q4-2058,Customer Support,770000
Q1-2059,Marketing,1660000
Q1-2059,Sales,1790000
Q1-2059,Engineering,1560000
Q1-2059,Customer Support,775000
Q2-2059,Marketing,1670000
Q2-2059,Sales,1800000
Q2-2059,Engineering,1570000
Q2-2059,Customer Support,780000
Q3-2059,Marketing,1680000
Q3-2059,Sales,1810000
Q3-2059,Engineering,1580000
Q3-2059,Customer Support,785000
Q4-2059,Marketing,1690000
Q4-2059,Sales,1820000
Q4-2059,Engineering,1590000
Q4-2059,Customer Support,790000
Q1-2060,Marketing,1700000
Q1-2060,Sales,1830000
Q1-2060,Engineering,1600000
Q1-2060,Customer Support,795000
Q2-2060,Marketing,1710000
Q2-2060,Sales,1840000
Q2-2060,Engineering,1610000
Q2-2060,Customer Support,800000
Q3-2060,Marketing,1720000
Q3-2060,Sales,1850000
Q3-2060,Engineering,1620000
Q3-2060,Customer Support,805000
Q4-2060,Marketing,1730000
Q4-2060,Sales,1860000
Q4-2060,Engineering,1630000
Q4-2060,Customer Support,810000
Q1-2061,Marketing,1740000
Q1-2061,Sales,1870000
Q1-2061,Engineering,1640000
Q1-2061,Customer Support,815000
Q2-2061,Marketing,1750000
Q2-2061,Sales,1880000
Q2-2061,Engineering,1650000
Q2-2061,Customer Support,820000
Q3-2061,Marketing,1760000
Q3-2061,Sales,1890000
Q3-2061,Engineering,1660000
Q3-2061,Customer Support,825000
Q4-2061,Marketing,1770000
Q4-2061,Sales,1900000
Q4-2061,Engineering,1670000
Q4-2061,Customer Support,830000
Q1-2062,Marketing,1780000
Q1-2062,Sales,1910000
Q1-2062,Engineering,1680000
Q1-2062,Customer Support,835000
Q2-2062,Marketing,1790000
Q2-2062,Sales,1920000
Q2-2062,Engineering,1690000
Q2-2062,Customer Support,840000
Q3-2062,Marketing,1800000
Q3-2062,Sales,1930000
Q3-2062,Engineering,1700000
Q3-2062,Customer Support,845000
Q4-2062,Marketing,1810000
Q4-2062,Sales,1940000
Q4-2062,Engineering,1710000
Q4-2062,Customer Support,850000
Q1-2063,Marketing,1820000
Q1-2063,Sales,1950000
Q1-2063,Engineering,1720000
Q1-2063,Customer Support,855000
Q2-2063,Marketing,1830000
Q2-2063,Sales,1960000
Q2-2063,Engineering,1730000
Q2-2063,Customer Support,860000
Q3-2063,Marketing,1840000
Q3-2063,Sales,1970000
Q3-2063,Engineering,1740000
Q3-2063,Customer Support,865000
Q4-2063,Marketing,1850000
Q4-2063,Sales,1980000
Q4-2063,Engineering,1750000
Q4-2063,Customer Support,870000
Q1-2064,Marketing,1860000
Q1-2064,Sales,1990000
Q1-2064,Engineering,1760000
Q1-2064,Customer Support,875000
Q2-2064,Marketing,1870000
Q2-2064,Sales,2000000
Q2-2064,Engineering,1770000
Q2-2064,Customer Support,880000
Q3-2064,Marketing,1880000
Q3-2064,Sales,2010000
Q3-2064,Engineering,1780000
Q3-2064,Customer Support,885000
Q4-2064,Marketing,1890000
Q4-2064,Sales,2020000
Q4-2064,Engineering,1790000
Q4-2064,Customer Support,890000
Q1-2065,Marketing,1900000
Q1-2065,Sales,2030000
Q1-2065,Engineering,1800000
Q1-2065,Customer Support,895000
Q2-2065,Marketing,1910000
Q2-2065,Sales,2040000
Q2-2065,Engineering,1810000
Q2-2065,Customer Support,900000
Q3-2065,Marketing,1920000
Q3-2065,Sales,2050000
Q3-2065,Engineering,1820000
Q3-2065,Customer Support,905000
Q4-2065,Marketing,1930000
Q4-2065,Sales,2060000
Q4-2065,Engineering,1830000
Q4-2065,Customer Support,910000
Q1-2066,Marketing,1940000
Q1-2066,Sales,2070000
Q1-2066,Engineering,1840000
Q1-2066,Customer Support,915000
Q2-2066,Marketing,1950000
Q2-2066,Sales,2080000
Q2-2066,Engineering,1850000
Q2-2066,Customer Support,920000
Q3-2066,Marketing,1960000
Q3-2066,Sales,2090000
Q3-2066,Engineering,1860000
Q3-2066,Customer Support,925000
Q4-2066,Marketing,1970000
Q4-2066,Sales,2100000
Q4-2066,Engineering,1870000
Q4-2066,Customer Support,930000
Q1-2067,Marketing,1980000
Q1-2067,Sales,2110000
Q1-2067,Engineering,1880000
Q1-2067,Customer Support,935000
Q2-2067,Marketing,1990000
Q2-2067,Sales,2120000
Q2-2067,Engineering,1890000
Q2-2067,Customer Support,940000
Q3-2067,Marketing,2000000
Q3-2067,Sales,2130000
Q3-2067,Engineering,1900000
Q3-2067,Customer Support,945000
Q4-2067,Marketing,2010000
Q4-2067,Sales,2140000
Q4-2067,Engineering,1910000
Q4-2067,Customer Support,950000
Q1-2068,Marketing,2020000
Q1-2068,Sales,2150000
Q1-2068,Engineering,1920000
Q1-2068,Customer Support,955000
Q2-2068,Marketing,2030000
Q2-2068,Sales,2160000
Q2-2068,Engineering,1930000
Q2-2068,Customer Support,960000
Q3-2068,Marketing,2040000
Q3-2068,Sales,2170000
Q3-2068,Engineering,1940000
Q3-2068,Customer Support,965000
Q4-2068,Marketing,2050000
Q4-2068,Sales,2180000
Q4-2068,Engineering,1950000
Q4-2068,Customer Support,970000
Q1-2069,Marketing,2060000
Q1-2069,Sales,2190000
Q1-2069,Engineering,1960000
Q1-2069,Customer Support,975000
Q2-2069,Marketing,2070000
Q2-2069,Sales,2200000
Q2-2069,Engineering,1970000
Q2-2069,Customer Support,980000
Q3-2069,Marketing,2080000
Q3-2069,Sales,2210000
Q3-2069,Engineering,1980000
Q3-2069,Customer Support,985000
Q4-2069,Marketing,2090000
Q4-2069,Sales,2220000
Q4-2069,Engineering,1990000
Q4-2069,Customer Support,990000
Q1-2070,Marketing,2100000
Q1-2070,Sales,2230000
Q1-2070,Engineering,2000000
Q1-2070,Customer Support,995000
Q2-2070,Marketing,2110000
Q2-2070,Sales,2240000
Q2-2070,Engineering,2010000
Q2-2070,Customer Support,1000000
Q3-2070,Marketing,2120000
Q3-2070,Sales,2250000
Q3-2070,Engineering,2020000
Q3-2070,Customer Support,1005000
Q4-2070,Marketing,2130000
Q4-2070,Sales,2260000
Q4-2070,Engineering,2030000
Q4-2070,Customer Support,1010000
Q1-2071,Marketing,2140000
Q1-2071,Sales,2270000
Q1-2071,Engineering,2040000
Q1-2071,Customer Support,1015000
Q2-2071,Marketing,2150000
Q2-2071,Sales,2280000
Q2-2071,Engineering,2050000
Q2-2071,Customer Support,1020000
Q3-2071,Marketing,2160000
Q3-2071,Sales,2290000
Q3-2071,Engineering,2060000
Q3-2071,Customer Support,1025000
Q4-2071,Marketing,2170000
Q4-2071,Sales,2300000
Q4-2071,Engineering,2070000
Q4-2071,Customer Support,1030000
Q1-2072,Marketing,2180000
Q1-2072,Sales,2310000
Q1-2072,Engineering,2080000
Q1-2072,Customer Support,1035000
Q2-2072,Marketing,2190000
Q2-2072,Sales,2320000
Q2-2072,Engineering,2090000
Q2-2072,Customer Support,1040000
Q3-2072,Marketing,2200000
Q3-2072,Sales,2330000
Q3-2072,Engineering,2100000
Q3-2072,Customer Support,1045000
Q4-2072,Marketing,2210000
Q4-2072,Sales,2340000
Q4-2072,Engineering,2110000
Q4-2072,Customer Support,1050000
Q1-2073,Marketing,2220000
Q1-2073,Sales,2350000
Q1-2073,Engineering,2120000
Q1-2073,Customer Support,1055000
Q2-2073,Marketing,2230000
Q2-2073,Sales,2360000
Q2-2073,Engineering,2130000
Q2-2073,Customer Support,1060000
Q3-2073,Marketing,2240000
Q3-2073,Sales,2370000
Q3-2073,Engineering,2140000
Q3-2073,Customer Support,1065000
Q4-2073,Marketing,2250000
Q4-2073,Sales,2380000
Q4-2073,Engineering,2150000
Q4-2073,Customer Support,1070000
Q1-2074,Marketing,2260000
Q1-2074,Sales,2390000
Q1-2074,Engineering,2160000
Q1-2074,Customer Support,1075000
Q2-2074,Marketing,2270000
Q2-2074,Sales,2400000
Q2-2074,Engineering,2170000
Q2-2074,Customer Support,1080000
Q3-2074,Marketing,2280000
Q3-2074,Sales,2410000
Q3-2074,Engineering,2180000
Q3-2074,Customer Support,1085000
Q4-2074,Marketing,2290000
Q4-2074,Sales,2420000
Q4-2074,Engineering,2190000
Q4-2074,Customer Support,1090000
Q1-2075,Marketing,2300000
Q1-2075,Sales,2430000
Q1-2075,Engineering,2200000
Q1-2075,Customer Support,1095000
Q2-2075,Marketing,2310000
Q2-2075,Sales,2440000
Q2-2075,Engineering,2210000
Q2-2075,Customer Support,1100000
Q3-2075,Marketing,2320000
Q3-2075,Sales,2450000
Q3-2075,Engineering,2220000
Q3-2075,Customer Support,1105000
Q4-2075,Marketing,2330000
Q4-2075,Sales,2460000
Q4-2075,Engineering,2230000
Q4-2075,Customer Support,1110000
Q1-2076,Marketing,2340000
Q1-2076,Sales,2470000
Q1-2076,Engineering,2240000
Q1-2076,Customer Support,1115000
Q2-2076,Marketing,2350000
Q2-2076,Sales,2480000
Q2-2076,Engineering,2250000
Q2-2076,Customer Support,1120000
Q3-2076,Marketing,2360000
Q3-2076,Sales,2490000
Q3-2076,Engineering,2260000
Q3-2076,Customer Support,1125000
Q4-2076,Marketing,2370000
Q4-2076,Sales,2500000
Q4-2076,Engineering,2270000
Q4-2076,Customer Support,1130000
Q1-2077,Marketing,2380000
Q1-2077,Sales,2510000
Q1-2077,Engineering,2280000
Q1-2077,Customer Support,1135000
Q2-2077,Marketing,2390000
Q2-2077,Sales,2520000
Q2-2077,Engineering,2290000
Q2-2077,Customer Support,1140000
Q3-2077,Marketing,2400000
Q3-2077,Sales,2530000
Q3-2077,Engineering,2300000
Q3-2077,Customer Support,1145000
Q4-2077,Marketing,2410000
Q4-2077,Sales,2540000
Q4-2077,Engineering,2310000
Q4-2077,Customer Support,1150000
Q1-2078,Marketing,2420000
Q1-2078,Sales,2550000
Q1-2078,Engineering,2320000
Q1-2078,Customer Support,1155000
